clusterId,exampleTweet;tree-5;tree-10;tree2;linear-svm;poly-svm;rbf-svm;sigmoid-svm
108;"adicionei um vídeo a uma playlist  news] syria 2016 - battle of aleppo heavy clashes and";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
108;"adicionei um vídeo a uma playlist  war 2016 - battle of aleppo: heavy clashes and intense urban";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
127;"3 suqour al sham brigade commanders killed in aleppo
 syria سوريا حلب";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
127;"3 suqour al sham brigade (falcons of the levant) commanders killed in aleppo in clashes with saa units. ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
127;"3 suqour al sham brigade (falcons of the levant) commanders killed in aleppo in clashes with saa units. ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
1;"rebel-held zone of syria's aleppo braces for renewed bombardment - reuters ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
1;"rebel-held zone of syria's aleppo braces for renewed bombardment -  ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
1;"rebel-held zone of syria's aleppo braces for renewed bombardment  ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
42;"thenewsclub aleppo evacuation corridor 'hit by mortar shells' during humanitarian pause  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
42;"thenewsclub aleppo evacuation corridor 'hit by mortar shells' during humanitarian pause  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
42;"aleppo evacuation corridor 'hit by mortar shells' during humanitarian pause  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
52;"russian drones observe every move islamist rebels make in aleppo 
 ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
52;"russian drones observe every move islamist rebels make in aleppo ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
52;"russian drones observe every move islamist rebels make in aleppo ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
19;"russian defense ministry: 2 russian servicemen lightly wounded in aleppo, syria, area - interfax ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
19;"russian defense ministry: 2 russian servicemen lightly wounded in aleppo, syria, area - interfax ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
19;"russian defense ministry: 2 russian servicemen lightly wounded in aleppo, syria, area - interfax iraq… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
56;" conflict: rebels ramp up attacks on government-held aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
56;"syria conflict: rebels ramp up attacks on government-held aleppo worldnews ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
56;"syria conflict: rebels ramp up attacks on government-held aleppo  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
121;"syria and its ally russia have given rebels and civilians until this evening to leave east aleppo or face... ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
121;"
time to leave east aleppo 
save yourself 

your guys cannot break siege 
your last chance";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
121;".time is running out for the children of east aleppo. over the last 3weeks, at least 321 children have been wounded by airstrikes";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
21;".dontforgetsyria, putin will use elections to exterminate aleppo in silence. ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
21;".dontforgetsyria, putin will use elections to exterminate aleppo in silence. ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
21;".dontforgetsyria, putin will use elections to exterminate aleppo in silence. ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
43;"two russian servicemen wounded as militants shell humanitarian corridor in aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
43;"2 russian soldiers are injured on aleppo checkpoint, after terrorists shelled a humanitarian corridor. ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
43;"two russian servicemen wounded as militants shell humanitarian corridor in aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
12;"top story: aleppo evacuations to fall flat, rebels prevent any exit: syria offi…  see more ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
12;"new post: "aleppo evacuations to fall flat, rebels prevent any exit: syria official" ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
12;"aleppo evacuations to fall flat, rebels prevent any exit - syria official: beirut (reuters) - a…  news reuters";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
65;"breaking || south aleppo

fsa forces kills group of hezbollah hiding out in telet ahad with tow missile: 

syria";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
65;"عربستان_سعودى fsa news 
south aleppo  fsa forces kills group of hezbollah hiding out in telet ahad with tow missile:  …";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
65;"مشهد fsa news 
south aleppo  fsa forces kills group of hezbollah hiding out in telet ahad with tow missile:    …";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
139;"putin is threatening to residents of aleppo: "it`s your last chance to leave city alive - 4 november" savealeppo
";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
139;"putin is threatening to residents of aleppo: "it`s your last chance to leave city alive - 4 november" savealeppo
";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
139;"putin is threatening to residents of aleppo: "it`s your last chance to leave city alive - 4 november" savealeppo";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
59;"rebel groups detonate huge car bombs in western aleppo - ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied
59;"rebel groups detonate huge car bombs in western aleppo - ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied
59;"rebel groups detonate huge car bombs in western aleppo - ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied
2;"rebel-held zone of syria’s aleppo braces for renewed bombardment
";ClusterClass.confirmed;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
2;"rebel-held zone of syria’s aleppo braces for renewed bombardment ";ClusterClass.confirmed;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
2;"rebel-held zone of syria's aleppo braces for renewed bombardment - reuters  idefy";ClusterClass.confirmed;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
54;"breaking: russia says two soldiers 'lightly wounded' in aleppo rebel shelling - via ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
54;"russia says two soldiers 'lightly wounded' in aleppo rebel shelling | via afp

— gma news breaking (gmanewsbreaking) november 4, 2016";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
54;"breaking 
russia says two soldiers 'lightly wounded' in aleppo rebel shelling 
- afp - ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
83;"aleppo: fear and distrust in besieged syrian city as army offers to let civilians flee - ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
83;"fear and distrust in aleppo as army offers to let civilians flee  via ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
83;"aleppo: fear and distrust in besieged syrian city as army offers to let civilians flee - ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
143;"activists have reported calm as a russian-announced "humanitarian pause" has taken effect in aleppo… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
143;"activists have reported calm as a russian-announced "humanitarian pause" has taken effect in aleppo… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
143;"activists have reported calm as a russian-announced "humanitarian pause" has taken effect in aleppo… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
92;"syria rebels reject russian demand to withdraw from aleppo: rebel official  via ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
92;"al jazeera - rebels reject russian demand to leave syria's aleppo  russia war";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
92;"syria: opposition rejects russian demand to withdraw from aleppo - ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
145;"the grains feat charlotte guy (aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
145;"the grains feat charlotte guy (aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
145;"the grains feat charlotte guy (aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
45;"_com: more: evacuation forced rt crew in aleppo to cease live transmissions ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
45;"more: evacuation forced rt crew in aleppo to cease live transmissions ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
45;"more: evacuation forced rt crew in aleppo to cease live transmissions 

— rt (rt_com) november 4, 2016";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
35;"a special report from the besieged city of aleppo syria ai humanrights news  … ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
35;"a special report from the besieged city of aleppo syria ai humanrights news  … ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
35;"a special report from the besieged city of aleppo syria ai humanrights news  … ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
61;".from aleppo to belfast: a human's story. syria aleppo humans humancrisis";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
61;".bbc news - from aleppo to belfast: a human being's story humancrisis";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
61;"from aleppo to belfast - one man's story (bbc) ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
10;"aleppo evacuations to fall flat, rebels prevent any exit: syria official ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
10;"aleppo evacuations to fall flat, rebels prevent any exit: syria official via /r/worldnews ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
10;"aleppo evacuations to fall flat, rebels prevent any exit - syria official |";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
96;"| drone footage of failed rebels' attack on 3000 project, western aleppo source: … ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
96;"drone footage of failed rebel advance on the western aleppo 3000 apartment projects  syria aleppo saa russia
";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
96;"drone footage of failed rebels' attack on 3000 project, western aleppo
source:  ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
47;".dontfor getsyria in the words of 7 yr old syrian girl 'i am counting my living days in aleppo' ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
47;".dontfor getsyria in the words of 7 yr old syrian girl 'i am counting my living days in aleppo' ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
47;".dontfor getsyria in the words of 7 yr old syrian girl 'i am counting my living days in aleppo' ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
80;".trump said 2 help russia in syria. no we should stop them! 'moscow military assault on aleppo' ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
80;".trump said 2 help russia in syria. no we should stop them! 'moscow military assault on aleppo' ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
80;".trump said 2 help russia in syria. no we should stop them! 'moscow military assault on aleppo' ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
100;"the remnant in aleppo: muslim lives being transformed by christian witness  christiannews";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
100;"the remnant in aleppo: muslim lives being transformed by christian witness ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
100;"the remnant in aleppo: muslim lives being transformed by christian witness  christiannews";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
93;"aleppo truce ends with no rebel evacuation - xinhua | ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
93;"aleppo truce ends with no rebel evacuation - xinhua |  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
93;"aleppo truce ends with no rebel evacuation - xinhua |  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
134;"reporting from aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
134;"syria: heavy attacks on aleppo city  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
134;"no words (aleppo, syria, april 2010) –  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
71;"rebels conduct suicide attack on government-held area aleppo ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
71;"rebels conduct suicide attack on government held area aleppo 💥  ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
71;"rebels conduct suicide attack on government-held area aleppo ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
103;"isil aleppo
📷targeting vso in halab's northern countryside w. mortar rounds ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
103;"isil aleppo
📷targeting vso in halab's northern countryside w. mortar rounds 
nationalsandwichday wonderwoman";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
103;"isil aleppo
📷targeting vso in halab's northern countryside w. mortar rounds 
hillaryindictment hamiltonmixtape";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
66;"lebanese football player killed by militants in syria’s aleppo battlefield  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
66;"lebanese football player killed by militants in syria’s aleppo battlefield: a professional lebanese…… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
66;" lebanese football player killed by militants in syria’s aleppo battlefield ";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
34;"syrian war report – november 4, 2016: govt forces repel fierce militant advance in aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
34;"syrian war report – november 4, 2016: govt forces repel fierce militant advance in aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
34;"syrian war report – november 4, 2016: govt forces repel fierce militant advance in aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
50;".putin to aleppo's people: live or die. dontforgetsyria ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied
50;".putin to aleppo's people: live or die. dontforgetsyria ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied
50;".putin to aleppo's people: live or die. dontforgetsyria ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied
31;".aleppo's facts. syria dontforgetsyria ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied
31;".aleppo's facts. syria dontforgetsyria ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied
31;".aleppo's facts. syria dontforgetsyria ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied
53;"lebanon garbage crisis gets helping hand from syrian recyclers aleppo  … via ";ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
53;"lebanon garbage crisis gets helping hand from syrian recyclers aleppo  via ";ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
53;"lebanon garbage crisis gets helping hand from syrian recyclers aleppo  … via ";ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
95;"rebels escalate attacks on western aleppo, killing 12 civilians  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
95;"rebels escalate attacks on western aleppo, killing 12 civilians -- news from  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
95;"rebels escalate attacks on western aleppo, killing 12 civilians -- news from  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
3;"u.n. says can't use russian aleppo pause to send aid ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
3;"u.n. says can't use russian aleppo pause to send aid  syria حلب لبنان";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
3;"الاحواز u.n. says can't use russian aleppo pause to send aid ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
129;"sw aleppo: jaish mujahideen struck with a tow a building on tell uhud full of pro-regime forces (said hezbollah).… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
129;"sw aleppo: rebels struck with a tow a building on tell uhud full of pro-government forces (said hezbollah).   ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
129;"sw aleppo: rebels struck with a tow a building on tell uhud full of pro-government forces (said hezbollah).   ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
23;".clock ticking for east aleppo as russia announce the extermination of 300 000 people. dontforgetsyria";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
23;".clock ticking for east aleppo as russia announce the extermination of 300 000 people. dontforgetsyria";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
23;".clock ticking for east aleppo as russia announce the extermination of 300 000 people. dontforgetsyria";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
88;"the latest world news pulse "the paper"!  thanks to aleppo icymi";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
